Student_ID,Gender,Age,Degree,CGPA,10th_Percentage,12th_Percentage,Backlogs,Technical_Skills,Communication_Skills,Aptitude_Score,Coding_Score,Internship,Internship_Months,Certifications,Projects,Attendance,Placement_Training,Preferred_Domain,Placement_Status,Company_Type,Package_LPA
STU0066,Male,22,B.Tech CSE,7.88,74.5,80.7,0,7.2,9.3,46,34,No,0,1,2,78.0,Yes,Networking,Not Placed,None,0.0
STU0067,Female,21,BCA,8.12,84.4,76.9,0,6.9,5.2,53,69,No,0,2,2,71.9,Yes,AI/ML,Not Placed,None,0.0
STU0068,Male,21,BCA,7.94,78.1,52.6,2,5.9,8.8,73,80,No,0,3,1,91.9,Yes,Networking,Not Placed,None,0.0
STU0069,Female,21,B.Sc Networking,7.98,63.1,70.1,2,8.6,10.0,77,40,Yes,6,1,5,82.6,No,Networking,Not Placed,None,0.0
STU0070,Male,21,B.Sc Computer Science,6.52,70.7,49.6,1,7.2,6.5,77,49,No,0,2,1,74.0,Yes,Networking,Not Placed,None,0.0
STU0071,Male,21,B.Tech CSE,8.54,69.9,89.1,0,6.2,5.2,57,86,No,0,0,2,77.4,Yes,Cloud Computing,Not Placed,None,0.0
STU0072,Female,21,B.Tech IT,8.64,75.2,62.1,0,4.9,6.5,54,74,No,0,0,2,77.1,No,Networking,Not Placed,None,0.0
STU0073,Female,20,BCA,7.46,80.3,87.8,0,5.6,7.1,61,55,Yes,4,1,5,84.3,Yes,Data Analytics,Placed,Product Company,4.9
STU0074,Male,20,B.Tech CSE,7.61,80.2,84.4,0,4.4,7.9,71,85,No,0,2,4,92.5,No,Software Development,Placed,Consulting,4.46
STU0075,Male,24,B.Tech CSE,6.35,58.2,64.1,2,7.0,6.2,89,86,No,0,3,4,81.2,No,Software Development,Not Placed,None,0.0
STU0076,Male,21,B.Tech CSE,8.09,86.6,61.5,0,5.1,9.4,39,70,Yes,4,2,1,66.0,No,Cloud Computing,Placed,IT Services,3.5
STU0077,Male,21,BCA,8.14,78.5,77.9,0,6.6,5.4,65,50,No,0,1,4,82.5,Yes,Cyber Security,Not Placed,None,0.0
STU0078,Female,22,B.Sc Computer Science,7.6,89.8,64.7,2,9.2,4.5,49,58,Yes,4,0,2,82.8,Yes,Cyber Security,Not Placed,None,0.0
STU0079,Female,21,B.Sc Data Science,8.61,80.4,75.1,2,8.9,8.8,45,70,Yes,4,3,2,82.2,No,Cloud Computing,Not Placed,None,0.0
STU0080,Female,23,B.Tech CSE,7.37,87.0,68.7,0,6.9,3.7,82,62,No,0,1,3,79.0,Yes,Software Development,Placed,Startup,3.51
STU0081,Male,22,B.Sc Networking,8.13,80.7,54.4,0,6.9,6.8,76,81,Yes,6,3,4,85.7,Yes,Cloud Computing,Placed,FinTech,5.57
STU0082,Male,21,B.Sc Networking,6.78,89.5,49.5,0,10.0,10.0,74,39,Yes,3,2,4,84.5,Yes,Cyber Security,Not Placed,None,0.0
STU0083,Female,21,B.Sc Computer Science,7.63,81.2,76.5,0,7.8,7.1,81,40,No,0,3,4,83.8,Yes,Data Analytics,Placed,Startup,2.77
STU0084,Female,22,B.Sc Data Science,7.5,75.0,67.8,0,6.5,5.4,61,68,Yes,1,4,5,87.3,No,AI/ML,Not Placed,None,0.0
STU0085,Female,23,B.Tech IT,7.84,98.0,67.9,0,4.7,7.0,62,57,Yes,2,4,2,80.6,Yes,Networking,Not Placed,None,0.0
STU0086,Female,21,B.Sc Computer Science,7.34,84.9,81.7,2,7.6,7.0,99,54,No,0,2,3,80.1,Yes,Software Development,Not Placed,None,0.0
STU0087,Male,22,B.Sc Networking,7.54,81.7,86.9,0,8.3,7.3,65,35,Yes,3,2,0,95.0,No,Networking,Not Placed,None,0.0
STU0088,Male,21,B.Tech IT,8.35,63.2,71.0,0,6.0,8.1,78,65,Yes,2,1,4,88.5,No,Software Development,Not Placed,None,0.0
STU0089,Male,24,B.Tech CSE,7.28,63.1,70.3,0,7.5,5.5,68,64,Yes,1,4,1,90.6,Yes,Software Development,Placed,Startup,2.41
STU0090,Female,21,B.Sc Computer Science,6.28,78.9,79.5,0,6.4,9.6,42,76,Yes,1,1,4,93.8,Yes,Cloud Computing,Not Placed,None,0.0
STU0091,Female,23,B.Tech CSE,9.14,77.5,59.1,1,6.7,7.5,39,66,No,0,0,2,88.2,Yes,Data Analytics,Not Placed,None,0.0
STU0092,Male,22,B.Sc Data Science,8.82,69.9,76.5,0,3.0,8.2,60,63,No,0,1,2,91.4,Yes,Software Development,Not Placed,None,0.0
STU0093,Male,22,BCA,6.55,77.4,80.1,0,6.6,6.2,83,85,Yes,2,0,0,71.4,No,Cyber Security,Placed,IT Services,4.2
STU0094,Male,21,B.Tech IT,8.24,91.9,81.5,0,8.6,9.0,79,43,No,0,2,2,85.6,Yes,Networking,Placed,Startup,5.91
STU0095,Male,21,BCA,7.22,83.0,52.7,1,6.0,6.7,81,74,Yes,1,2,4,82.5,Yes,AI/ML,Placed,Startup,4.4
STU0096,Male,21,B.Tech CSE,7.87,64.6,65.6,0,7.1,7.5,54,37,Yes,6,1,0,97.4,Yes,AI/ML,Placed,IT Services,4.04
STU0097,Male,21,B.Tech IT,7.9,74.9,64.3,1,5.8,5.7,91,51,No,0,0,2,91.4,Yes,AI/ML,Not Placed,None,0.0
STU0098,Female,21,B.Tech IT,7.45,68.0,75.1,0,7.6,5.6,54,44,No,0,4,0,79.0,Yes,Cyber Security,Not Placed,None,0.0
STU0099,Female,22,B.Tech CSE,6.98,72.1,79.3,0,6.7,8.1,71,78,Yes,3,3,2,87.0,Yes,Cyber Security,Not Placed,None,0.0
STU0100,Female,21,B.Sc Computer Science,7.06,71.9,90.5,0,5.5,6.4,68,64,Yes,4,3,2,85.3,No,Software Development,Not Placed,None,0.0
STU0101,Female,20,B.Sc Data Science,6.87,71.2,68.6,2,9.1,5.8,66,65,Yes,3,1,2,87.6,Yes,Networking,Not Placed,None,0.0
STU0102,Male,23,B.Tech IT,6.94,63.4,68.5,2,8.5,6.1,87,46,Yes,4,3,4,75.8,No,Data Analytics,Not Placed,None,0.0
STU0103,Female,23,B.Sc Networking,7.59,74.7,86.6,0,6.0,8.1,58,60,Yes,2,2,3,86.9,Yes,Data Analytics,Not Placed,None,0.0
STU0104,Male,23,B.Tech CSE,7.04,70.4,77.3,0,7.8,6.2,49,52,No,0,1,2,82.2,Yes,AI/ML,Not Placed,None,0.0
STU0105,Male,24,B.Tech CSE,8.23,46.7,87.9,0,7.9,6.9,68,72,Yes,1,0,3,86.3,Yes,Software Development,Placed,FinTech,4.16
STU0106,Female,21,BCA,8.91,96.5,77.2,0,8.0,7.1,62,48,No,0,1,1,78.2,Yes,Networking,Not Placed,None,0.0
STU0107,Female,21,B.Tech CSE,7.16,86.9,61.3,0,4.3,4.2,100,88,Yes,2,0,2,79.3,Yes,Data Analytics,Not Placed,None,0.0
STU0108,Male,22,B.Sc Data Science,7.85,72.2,59.3,2,8.6,4.9,77,37,Yes,4,5,3,93.4,Yes,AI/ML,Placed,Startup,3.14
STU0109,Female,22,BCA,8.07,76.2,56.9,2,6.1,7.6,62,51,Yes,1,0,2,75.6,No,Cloud Computing,Not Placed,None,0.0
STU0110,Female,21,B.Sc Data Science,8.05,64.3,81.3,0,6.4,6.0,53,94,Yes,3,1,3,76.2,No,Networking,Not Placed,None,0.0
STU0111,Female,22,B.Sc Networking,7.71,93.0,87.1,0,10.0,8.7,42,58,No,0,1,3,83.6,Yes,Software Development,Not Placed,None,0.0
STU0112,Female,21,BCA,8.28,95.0,94.3,1,7.5,8.6,54,43,Yes,4,1,4,77.8,Yes,Cloud Computing,Not Placed,None,0.0
STU0113,Male,21,BCA,8.06,77.6,83.3,1,6.4,8.2,70,69,Yes,6,2,5,76.9,No,Cloud Computing,Placed,Product Company,5.76
STU0114,Male,22,B.Sc Data Science,6.6,86.2,86.8,0,3.5,9.8,88,57,No,0,0,1,84.8,Yes,Software Development,Not Placed,None,0.0
STU0115,Male,22,B.Tech IT,8.39,77.8,67.6,0,9.2,7.0,84,51,No,0,3,2,72.0,No,Cyber Security,Not Placed,None,0.0
STU0116,Male,22,B.Sc Networking,8.4,62.6,61.3,0,4.8,8.1,71,46,Yes,4,1,2,75.9,No,Cloud Computing,Not Placed,None,0.0
STU0117,Male,21,B.Sc Computer Science,7.0,71.9,83.4,0,5.4,6.2,63,100,Yes,6,2,1,100.0,Yes,Software Development,Placed,Product Company,5.23
STU0118,Female,22,B.Tech IT,7.68,77.3,78.6,0,6.5,10.0,72,61,No,0,2,4,87.7,Yes,Cyber Security,Placed,IT Services,2.77
STU0119,Male,21,B.Sc Networking,8.23,71.5,75.2,0,9.3,10.0,61,32,No,0,4,4,78.0,Yes,AI/ML,Not Placed,None,0.0
STU0120,Male,21,B.Sc Data Science,7.47,73.8,78.3,0,8.2,7.1,92,90,No,0,3,3,87.3,No,AI/ML,Not Placed,None,0.0
STU0121,Male,23,B.Tech CSE,8.56,75.1,77.6,0,6.7,7.7,65,75,Yes,3,2,3,88.5,Yes,Software Development,Placed,Startup,4.72
STU0122,Male,23,B.Tech IT,9.66,75.2,88.1,0,7.5,9.1,67,52,No,0,1,1,92.0,No,AI/ML,Placed,IT Services,2.63
STU0123,Female,22,B.Sc Data Science,6.98,76.5,88.2,0,6.0,6.9,37,49,Yes,2,2,3,83.0,Yes,Cloud Computing,Not Placed,None,0.0
STU0124,Female,22,B.Sc Computer Science,6.48,65.4,80.0,1,7.2,6.1,65,76,Yes,3,3,4,91.8,Yes,Data Analytics,Not Placed,None,0.0
STU0125,Female,22,B.Sc Data Science,7.91,68.8,83.3,1,7.1,8.4,80,61,No,0,3,3,67.7,Yes,Data Analytics,Not Placed,None,0.0
STU0126,Female,22,B.Tech CSE,8.26,63.2,79.7,0,8.6,7.2,53,32,Yes,1,0,2,75.5,Yes,Networking,Not Placed,None,0.0
STU0127,Male,21,B.Tech IT,7.45,85.8,68.9,0,8.5,7.4,57,95,Yes,4,1,3,85.3,Yes,Software Development,Not Placed,None,0.0
STU0128,Male,21,B.Sc Networking,8.89,54.9,82.3,3,7.8,5.8,79,58,Yes,3,3,2,86.6,Yes,Cloud Computing,Not Placed,None,0.0
STU0129,Female,21,B.Sc Data Science,6.51,87.5,58.7,0,6.4,4.5,47,90,Yes,6,1,3,76.7,Yes,Cyber Security,Not Placed,None,0.0
STU0130,Male,21,B.Sc Computer Science,8.24,89.9,85.6,0,8.2,7.5,83,87,No,0,1,3,86.1,Yes,Software Development,Placed,Consulting,5.99
STU0131,Female,22,B.Sc Networking,7.14,73.0,60.9,0,6.9,8.5,61,48,No,0,1,2,79.0,Yes,Data Analytics,Not Placed,None,0.0
STU0132,Female,21,B.Sc Networking,9.11,50.0,77.1,0,5.3,6.8,63,83,Yes,3,2,4,81.8,No,Cloud Computing,Not Placed,None,0.0
STU0133,Female,21,B.Tech IT,9.34,72.4,64.7,0,6.4,9.3,52,54,Yes,2,5,4,92.2,Yes,Networking,Placed,Product Company,5.8
STU0134,Female,21,B.Tech IT,7.0,75.4,80.1,2,7.1,6.0,73,33,No,0,2,0,91.3,Yes,AI/ML,Not Placed,None,0.0
STU0135,Male,22,B.Tech CSE,7.18,65.9,73.6,0,8.5,5.5,100,58,No,0,1,5,76.0,No,Data Analytics,Not Placed,None,0.0
STU0136,Female,20,B.Sc Data Science,8.38,70.8,56.5,0,6.7,7.0,79,72,Yes,4,0,3,75.5,No,AI/ML,Placed,IT Services,3.43
STU0137,Male,22,B.Sc Networking,7.32,91.3,78.6,2,5.1,7.0,56,57,No,0,0,3,80.7,Yes,Networking,Not Placed,None,0.0
STU0138,Male,21,B.Tech CSE,7.61,82.6,67.6,0,7.1,8.3,84,60,No,0,2,4,83.8,Yes,Cloud Computing,Not Placed,None,0.0
STU0139,Female,21,BCA,7.67,66.8,83.7,0,7.2,5.9,64,84,Yes,3,2,3,78.7,No,Software Development,Not Placed,None,0.0
STU0140,Male,22,B.Tech CSE,6.02,60.0,74.0,0,7.3,9.2,87,67,Yes,2,1,4,92.3,No,Software Development,Not Placed,None,0.0
STU0141,Male,22,B.Tech CSE,7.64,72.7,78.3,0,8.5,10.0,79,51,Yes,1,2,2,86.8,No,Cloud Computing,Not Placed,None,0.0
STU0142,Female,21,B.Tech IT,7.06,73.9,63.5,0,8.6,7.0,30,77,No,0,3,1,87.2,Yes,Data Analytics,Placed,IT Services,5.62
STU0143,Male,22,B.Tech CSE,7.23,81.0,67.5,0,6.0,9.0,54,68,Yes,1,1,3,73.9,Yes,Software Development,Placed,IT Services,2.49
STU0144,Female,22,BCA,8.88,70.6,69.0,0,6.0,5.5,81,22,Yes,4,1,4,93.3,Yes,Networking,Placed,IT Services,3.62
STU0145,Female,21,B.Sc Computer Science,6.58,81.1,83.4,0,5.3,8.7,70,72,Yes,2,5,4,61.4,No,Software Development,Placed,Product Company,4.35
STU0146,Female,22,B.Tech CSE,8.34,95.4,92.5,0,8.1,8.7,54,72,No,0,1,3,90.7,Yes,Software Development,Not Placed,None,0.0
STU0147,Male,22,B.Sc Computer Science,7.41,84.2,65.1,0,9.3,8.4,59,65,Yes,6,3,3,91.5,Yes,Data Analytics,Placed,IT Services,4.34
STU0148,Male,22,B.Sc Computer Science,7.41,75.5,85.8,0,6.5,7.1,41,80,No,0,1,2,80.5,No,Software Development,Not Placed,None,0.0
STU0149,Female,22,B.Sc Computer Science,8.32,74.2,50.1,0,6.6,2.7,67,54,No,0,3,5,94.2,Yes,Software Development,Not Placed,None,0.0
STU0150,Female,22,B.Tech CSE,7.94,72.4,60.9,0,9.3,6.1,99,71,Yes,2,3,2,83.5,Yes,Cloud Computing,Not Placed,None,0.0
STU0151,Male,22,B.Sc Computer Science,8.14,87.8,63.5,2,7.8,6.2,79,38,Yes,1,2,4,84.5,Yes,AI/ML,Placed,Product Company,6.27
STU0152,Female,22,B.Sc Networking,8.47,69.7,59.1,0,7.7,5.6,99,72,Yes,1,3,3,86.7,Yes,AI/ML,Placed,IT Services,4.21
STU0153,Female,22,B.Tech CSE,7.37,76.5,56.6,0,5.1,7.3,80,98,No,0,4,3,100.0,Yes,Data Analytics,Not Placed,None,0.0
STU0154,Male,22,B.Tech CSE,7.13,76.5,78.5,1,8.1,6.5,82,48,Yes,3,2,2,94.8,Yes,Cloud Computing,Placed,Consulting,5.15
STU0155,Male,22,B.Sc Networking,6.73,71.0,71.6,0,5.5,5.9,96,52,Yes,2,1,5,89.6,Yes,Software Development,Placed,IT Services,4.05
STU0156,Female,22,BCA,6.95,62.3,78.2,0,5.2,5.5,73,53,Yes,2,1,3,76.7,Yes,Data Analytics,Not Placed,None,0.0
STU0157,Male,21,B.Sc Networking,9.8,79.2,81.6,1,6.4,6.0,65,67,Yes,4,3,5,85.1,Yes,AI/ML,Placed,IT Services,5.33
STU0158,Male,23,B.Sc Computer Science,8.71,75.4,76.9,1,6.1,8.8,82,47,No,0,2,0,77.5,Yes,AI/ML,Not Placed,None,0.0
STU0159,Female,22,B.Sc Computer Science,6.5,81.0,81.2,0,6.6,6.1,88,72,No,0,0,3,90.6,Yes,Cyber Security,Not Placed,None,0.0
STU0160,Male,20,B.Tech CSE,6.53,70.7,73.2,0,4.7,6.3,61,79,No,0,0,4,85.1,Yes,Cloud Computing,Not Placed,None,0.0
STU0161,Female,22,B.Tech IT,8.06,88.2,60.9,0,8.5,6.4,58,74,Yes,2,2,4,75.0,Yes,AI/ML,Not Placed,None,0.0
STU0162,Male,21,B.Tech IT,8.12,67.2,85.6,1,8.8,7.6,70,35,Yes,4,1,4,84.6,Yes,Data Analytics,Placed,Product Company,6.11
STU0163,Male,21,B.Sc Computer Science,8.12,93.1,67.5,0,3.9,7.8,80,82,No,0,2,0,77.2,Yes,Cyber Security,Placed,IT Services,4.51
STU0164,Male,22,B.Tech CSE,7.43,58.5,63.7,0,8.6,2.5,79,81,Yes,1,3,0,85.2,Yes,Software Development,Not Placed,None,0.0
STU0165,Female,21,B.Sc Computer Science,7.54,80.3,72.0,1,5.7,8.6,48,79,No,0,2,3,77.1,Yes,Networking,Placed,Startup,3.16
STU0166,Male,22,B.Sc Data Science,7.93,80.8,64.0,0,8.4,9.3,95,71,Yes,3,0,0,84.2,Yes,Software Development,Placed,IT Services,3.94
STU0167,Female,22,B.Tech IT,7.72,68.0,69.4,1,6.9,5.5,59,69,Yes,4,0,5,90.0,No,Cloud Computing,Not Placed,None,0.0
STU0168,Female,21,B.Sc Networking,5.76,80.2,77.8,0,7.0,5.6,64,83,No,0,1,2,83.6,Yes,Software Development,Not Placed,None,0.0
STU0169,Female,20,B.Tech CSE,7.45,88.8,77.8,0,6.7,6.4,55,98,No,0,1,3,80.9,Yes,Cyber Security,Not Placed,None,0.0
STU0170,Male,21,BCA,6.93,53.8,64.1,0,8.9,6.0,100,49,No,0,2,1,85.6,Yes,Cloud Computing,Placed,Product Company,4.59
STU0171,Male,22,B.Tech CSE,7.8,81.0,68.6,1,5.0,7.4,71,83,Yes,3,2,3,89.6,No,Cloud Computing,Not Placed,None,0.0
STU0172,Female,24,B.Sc Networking,9.8,51.1,85.8,0,8.0,4.2,56,64,Yes,6,1,2,75.1,Yes,Cloud Computing,Placed,Startup,5.55
